"BFN","LICENSE_TYPE","LICENSE_SUB_TYPE","LICENSE_STATUS","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2021-BFN-0002021","Retail Food Establishment","Mobile","Pending","4/6/2021 12:26:16 PM","AISHA'S KITCHEN LLC","496  FLORENCE ST  AURORA 80010"
"2021-BFN-0002028","Retail Food Establishment","Restaurant","Pending","4/6/2021 1:23:48 PM","PETUNIA BAKE SHOP LLC","3000 W 23rd Ave  Denver 80211"
"2019-BFN-0001302","Combined License","NA","Pending","2/14/2019 12:54:33 PM","PROST BREWING COMPANY LLC","2540  19th St  Denver 80211"
"2020-BFN-0000952","Swimming Pool","NA","Pending","2/12/2020 12:22:54 PM","CONCHA TOWNHOUSE ASSOCIATION","7882 E Iowa Ave  Denver 80231"
"2019-BFN-0011393","Retail Food Establishment","Restaurant","Pending","12/9/2019 8:20:12 AM","RAISING CANES RESTAURANTS LLC","1190 S Colorado Blvd  Denver 80246"
"2020-BFN-0002344","Retail Food Establishment","Restaurant - Temporary","Pending","5/4/2020 1:03:37 PM","Baba's Falafel and Co. LLC","550  East 12th Avenue #910    "
"2020-BFN-0003067","Short Term Rental","NA","Pending","6/17/2020 12:00:00 AM","PATRICK POLLOCK","1655 N Yates ST  Denver 80204"
"2020-BFN-0003313","Combined License","NA","Pending","6/29/2020 11:56:42 AM","NASH - HOLLAND 355 LOGAN INVESTORS LLC","355 N Logan St  Denver 80203"
"2020-BFN-0003259","Tree Service Company","NA","Pending","6/26/2020 9:16:49 AM","WILLS TREES LLC","13667 E NEVEADA AVE  AURORA 80012"
"2020-BFN-0003674","Food - Retail","Bakery, Deli","Pending","7/16/2020 1:09:36 PM","MURPHY OIL USA INC","5640 N Central Park Blvd  Denver "
"2020-BFN-0004017","Lodging Facility","NA","Pending","8/5/2020 3:27:20 PM","NEWHOUSE MANAGEMENT, LLC","1470 N Grant St  Denver 80203"
"2020-BFN-0003597","Retail Food Establishment","Restaurant - Temporary","Pending","7/13/2020 2:13:32 PM","Slow and Steady LLC","3657  N Jackson St    "
"2020-BFN-0003107","Tree Service Company","NA","Pending","6/18/2020 11:19:01 AM","BRYAN ANNAN","1125  CORAL BURST DR  LOVELAND 80538"
"2020-BFN-0003219","Retail Food Establishment","Restaurant","Pending","6/24/2020 1:34:06 PM","EPIQ PIZZA LLC","1147 N Broadway  103 Denver 80203"
"2020-BFN-0003341","Tree Service Company","NA","Pending","6/30/2020 9:51:29 AM","GARY  MARTIN","3491 S ELM ST  DENVER 80222"
"2020-BFN-0003669","Swimming Pool","NA","Pending","7/16/2020 10:45:36 AM","CLARKSON PARK CONDOMINIUMS","100 S Clarkson St  Denver 80209"
"2020-BFN-0003581","Retail Food Establishment","Restaurant - Temporary","Pending","7/10/2020 9:21:32 PM","Mister Lemonade","42  South Holman Way    "
"2020-BFN-0002468","Combined License","NA","Pending","5/12/2020 11:47:05 AM","GELT ONEIDA FEE OWNER LLC","888 S Oneida St  Denver 80224"
"2020-BFN-0002656","Food - Wholesale","Fresh Meats, Fish, Caterers","Pending","5/22/2020 8:07:31 AM","K JORDAN HOLDINGS LLC","4986  Morrison Rd  Denver 80219"
"2020-BFN-0002709","Swimming Pool","NA","Pending","5/27/2020 12:03:19 PM","SOUTHMOOR PARK CONDOMINIUM ASSOCIATION, INC","3540 S IVANHOE ST  DENVER 80237"
"2020-BFN-0002747","Retail Food Establishment","Restaurant - Temporary","Pending","5/28/2020 4:59:56 PM","Hopdoddy Burger Bar","1747  Wynkoop ST  Denver 80202"
"2020-BFN-0003261","Retail Food Establishment","Restaurant - Stand-Up","Pending","6/26/2020 9:33:54 AM","EARTHLINKS INC","2746 W 13th Ave  Denver 80204"
"2020-BFN-0003262","Retail Food Establishment","Restaurant - Temporary","Pending","6/26/2020 9:44:45 AM","Bruna's Cheese Bread Sandwich LLC","18425  E FLORA    "
"2020-BFN-0002522","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","5/14/2020 10:54:09 AM","WALGREEN CO.","2870 S Colorado Blvd  Denver 80222"
"2020-BFN-0002411","Retail Food Establishment","Restaurant","Pending","5/7/2020 2:57:46 PM","SAGE DINING SERVICES INC","7701 E 1st Pl C Denver 80230"
"2020-BFN-0002034","Combined License","NA","Pending","4/14/2020 8:23:17 AM","TERRAPIN TOWER ROAD LLC","6290 N Tower Rd  Denver 80249"
"2020-BFN-0004070","Retail Food Establishment","Restaurant - Stand-Up","Pending","8/10/2020 2:00:54 PM","WHEELHOUSE GIFTS, LLC","1525 S Pearl St  Denver 80210"
"2020-BFN-0004286","Retail Food Establishment","Mobile","Pending","8/21/2020 11:00:32 AM","BOTTHAISONG LLC","1859  28th St 472 Denver 80216"
"2020-BFN-0003973","Combined License","NA","Pending","8/4/2020 7:52:39 AM","REALMANAGE","2284 S Sherman St  Denver 80210"
"2020-BFN-0004307","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","8/24/2020 11:01:39 AM","PLANT BASED WELLNESS LLC","4897 N Oakland St  Denver 80239"
"2020-BFN-0004887","Short Term Rental","NA","Pending","9/24/2020 12:00:00 AM","STEVEN CHAVEZ","2833 E 8th AVE  Denver 80206"
"2020-BFN-0005997","Retail Food Establishment","Restaurant - Temporary","Pending","11/16/2020 1:49:25 PM","ORIGINAL BY GREEKS LLC 2","805  WADSWORTH   LAKEWOOD "
"2020-BFN-0005418","Tree Service Company","NA","Pending","12/31/2021 12:00:00 AM","JOHN HENRY","23460 E ROXBURY DR UNIT 205 AURORA 80016"
"2020-BFN-0006152","Retail Food Establishment","Restaurant - Temporary","Pending","11/20/2020 9:10:16 AM","GUGU INTERNATIONAL LLC","17116  LAUREL LN  MONROE 98272"
"2020-BFN-0006418","Food - Wholesale","Packaged, Bottled, Canned","Pending","12/2/2020 1:28:35 PM","GOSS & HAJJ INC","5708 E Colfax Ave  Denver 80220"
"2020-BFN-0005836","Lodging Facility","NA","Pending","11/6/2020 2:34:00 PM","LARIMER B&B LLC","2109  Larimer St  Denver 80205"
"2020-BFN-0006682","Combined License","NA","Pending","12/9/2020 10:26:16 AM","TWB DENVER LLC","1601  19th St 100 Denver "
"2020-BFN-0006879","Retail Food Establishment","Restaurant","Pending","12/14/2020 3:10:35 PM","SODEXO AMERICA LLC","2055 E Evans Ave  Denver 80210"
"2020-BFN-0007048","Retail Tobacco Store","NA","Pending","12/17/2020 11:35:01 AM","Akal Kirpa, Inc.","501 S Federal BLVD  Denver 80219"
"2020-BFN-0004582","Private Security Employer","NA","Pending","9/8/2020 9:53:54 AM","Regis University Campus Safety","      "
"2020-BFN-0007093","Retail Tobacco Store","NA","Pending","12/18/2020 9:13:36 AM","BN Investment Company LLC","1895 E Colfax AVE  Denver 80218"
"2020-BFN-0005327","Short Term Rental","NA","Pending","10/15/2020 12:00:00 AM","NICOLE GARCETTI","350 N Detroit ST 414 Denver 80206"
"2020-BFN-0005993","Retail Food Establishment","Restaurant - Temporary","Pending","11/16/2020 1:43:26 PM","ORIGINAL BY GREEKS LLC","805  WADSWORTH   LAKEWOOD "
"2020-BFN-0007363","Tree Service Company","NA","Pending","12/29/2020 1:41:20 PM","YANCY VILLAGRANA","4892 S Xenia St  Denver 80237"
"2020-BFN-0005134","Garage - Repair of Motor Vehic","NA","Pending","10/6/2020 11:01:38 AM","LES SCHWAB TIRE CENTERS OF COLORADO INC","2001 N Federal Blvd  Denver 80211"
"2020-BFN-0004861","Food - Wholesale","Fresh Meats, Fish, Caterers","Pending","9/22/2020 1:46:06 PM","MISSY'S GOURMET SPOT","970 N Yuma St 160 Denver "
"2020-BFN-0005320","Private Security Employer","NA","Pending","10/14/2020 5:23:25 PM","Alert Patrol Inc.","      "
"2020-BFN-0006980","Retail Tobacco Store","NA","Pending","12/15/2020 8:11:27 PM","7-Eleven, Inc.","621  17th ST  Denver 80293"
"2020-BFN-0007180","Retail Tobacco Store","NA","Pending","12/22/2020 9:49:28 AM","Fast-N-Friendly Food Marts, INC","5595 E Florida AVE  Denver 80222"
"2020-BFN-0007447","Retail Tobacco Store","NA","Pending","12/30/2020 6:21:55 PM","7-Eleven, Inc.","1800  Welton ST  Denver 80202"
"2021-BFN-0000115","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","1/7/2021 8:55:44 AM","SUN MARKET, LLC","2201 N Lafayette St  Denver 80205"
"2020-BFN-0007239","Retail Tobacco Store","NA","Pending","12/23/2020 1:59:03 PM","Safeway Stores 45, Inc","3600 W 44th AVE  Denver 80211"
"2021-BFN-0000151","Parking Lot, Garage","NA","Pending","1/8/2021 10:37:35 AM","SP PLUS CORPORATION","1847  California St  Denver "
"2021-BFN-0001470","Retail Food Establishment","Restaurant","Pending","3/10/2021 11:32:24 AM","THE FIT FOODS LLC","201 N University Blvd 108 Denver 80206"
"2021-BFN-0000692","Combined License","NA","Pending","2/1/2021 3:30:07 PM","BIRDCALL HAPPY CANYON, LLC","4996 E Hampden Ave  Denver 80222"
"2021-BFN-0000784","Short Term Rental","NA","Pending","2/4/2021 2:54:45 PM","MARY DUNN","2330 S Fillmore ST  Denver 80210"
"2021-BFN-0000885","Retail Food Establishment","Restaurant","Pending","2/10/2021 3:39:43 PM","ODELL BREWING COMPANY INC","1625 N Perry St  Denver "
"2021-BFN-0000504","Boarding Home","NA","Pending","1/22/2021 2:46:42 PM","WELLTOWER PEGASUS TENANT LLC","8101 E Mississippi Ave  Denver 80247"
